 station,date,salinity,temperature
NW2,2005-7-4,32.83,19.13
OS30,2005-1-21,29.14,17.60
NW1,2005-2-20,31.51,16.13
DO,2005-8-1,28.93,16.71
DH,2005-6-14,29.19,15.37
DO,2005-12-16,30.03,18.88
OS30,2005-3-12,33.94,18.89
DH,2005-7-3,30.80,16.31
DO,2005-8-27,30.77,18.99
NW1,2005-5-12,32.10,16.03
NW1,2005-3-1,29.49,16.43
OS30,2005-6-23,33.31,16.17
NW1,2005-4-27,29.78,18.16
DH,2005-6-3,30.92,18.17
DO,2005-9-19,33.64,17.21
DO,2005-12-21,29.14,16.95
NW1,2005-8-14,31.88,17.34
DH,2005-3-14,30.33,15.72
OS30,2005-9-10,30.19,19.39
DH,2005-1-15,33.84,16.77
OS30,2005-7-5,29.29,19.10
DO,2005-9-22,33.39,15.80
NW1,2005-7-16,33.83,18.36
NW1,2005-12-28,31.07,19.21
NW2,2005-9-23,29.18,18.05
NW2,2005-11-1,32.56,15.83
NW2,2005-7-5,32.07,15.79
DH,2005-5-16,30.50,19.86
DO,2005-1-23,29.90,19.87
DH,2005-3-2,33.32,15.68
NW2,2005-5-23,29.80,18.37
DO,2005-4-22,29.94,17.43
NW1,2005-4-14,31.07,17.72
NW1,2005-6-25,33.15,16.80
NW2,2005-2-20,29.06,15.65
DH,2005-8-23,30.80,18.08
NW1,2005-2-24,33.36,17.47
NW1,2005-6-5,33.95,15.92
NW1,2005-8-22,31.47,19.99
DH,2005-3-27,32.25,19.14
OS30,2005-9-27,29.18,19.86
OS30,2005-11-4,32.89,18.76
NW1,2005-11-22,28.30,18.42
DO,2005-9-9,32.67,18.11
NW1,2005-9-24,32.13,18.73
DO,2005-6-28,31.59,17.60
DO,2005-2-23,30.02,19.20
DH,2005-10-23,28.28,18.48
NW2,2005-7-19,31.06,18.33
DO,2005-1-15,31.93,17.29
NW2,2005-11-6,30.54,16.34
NW2,2005-7-16,33.62,19.57
DO,2005-3-14,33.83,17.21
OS30,2005-9-22,33.07,18.16
DO,2005-12-3,30.49,15.86
DO,2005-11-27,31.89,18.30
DO,2005-4-13,30.04,17.17
DH,2005-12-11,29.79,17.70
NW1,2005-2-7,29.03,17.44
DH,2005-10-2,30.92,19.65
NW1,2005-3-21,30.60,16.48
NW2,2005-10-23,31.32,17.59
OS30,2005-3-16,30.00,17.84
NW1,2005-3-18,31.28,16.48
OS30,2005-6-1,29.80,15.56
NW1,2005-12-16,31.25,18.33
NW2,2005-7-17,32.28,16.48
DO,2005-11-2,29.08,16.52
NW2,2005-12-3,28.98,19.29
DH,2005-8-13,32.30,17.23
OS30,2005-12-10,31.40,17.52
DH,2005-3-15,31.16,17.90
DH,2005-2-8,28.92,15.06
OS30,2005-7-21,28.46,16.73
NW1,2005-1-11,29.82,19.39
DH,2005-8-5,30.33,15.76
DH,2005-8-19,33.51,19.41
DO,2005-12-22,33.71,16.23
NW1,2005-11-11,31.40,17.04
OS30,2005-1-4,29.16,15.42
OS30,2005-11-28,29.00,19.21
OS30,2005-2-4,28.10,16.04
DO,2005-7-18,28.13,16.68
NW1,2005-8-3,33.44,16.52
NW2,2005-6-14,28.23,17.07
NW2,2005-9-13,31.46,15.27
NW2,2005-1-18,29.20,15.72
NW2,2005-4-27,31.99,18.19
NW2,2005-9-9,30.03,15.49
DO,2005-10-19,30.08,18.61
NW1,2005-12-27,31.96,18.37
DH,2005-7-8,30.31,19.87
NW1,2005-8-5,28.99,18.21
OS30,2005-5-7,28.54,17.91
NW1,2005-1-28,31.91,19.18
OS30,2005-1-3,29.87,19.90
DH,2005-9-15,32.16,16.07
DH,2005-4-18,32.49,16.01
NW2,2005-2-3,32.67,16.40
DH,2005-1-21,30.70,18.99
NW2,2005-4-14,32.22,17.08
NW1,2005-6-25,32.77,17.58
DO,2005-10-17,33.19,16.33
NW2,2005-7-28,28.90,18.77
NW1,2005-12-4,31.81,18.16
DO,2005-6-2,30.40,16.06
DH,2005-10-12,33.79,15.94
DO,2005-7-14,33.68,16.53
OS30,2005-2-11,30.66,16.74
DO,2005-5-3,29.23,18.81
DO,2005-7-28,32.32,16.26
DO,2005-11-15,33.21,18.07
NW2,2005-3-12,29.37,18.57
OS30,2005-12-9,32.65,18.49
NW2,2005-3-5,31.77,16.01
NW1,2005-10-12,32.97,18.14
NW2,2005-7-26,32.75,19.70
NW1,2005-3-3,28.05,15.42
DH,2005-6-5,33.03,17.52
OS30,2005-1-13,30.29,17.02
NW2,2005-1-15,31.74,17.52
NW2,2005-2-7,28.39,18.36
NW1,2005-8-22,28.82,15.67
OS30,2005-1-3,28.87,18.34
NW1,2005-7-12,29.44,19.50
NW2,2005-3-16,33.03,18.30
NW2,2005-4-4,33.05,18.69
OS30,2005-12-9,30.08,15.72
DH,2005-11-15,31.15,18.57
OS30,2005-7-26,33.03,19.15
OS30,2005-4-12,32.92,15.59
DH,2005-6-5,32.21,18.20
NW2,2005-2-22,29.46,17.66
NW1,2005-12-6,31.14,19.71
DO,2005-2-28,33.68,15.55
DH,2005-9-9,28.51,19.36
DO,2005-4-13,28.33,15.35
OS30,2005-3-12,28.85,15.26
NW2,2005-4-2,33.20,16.71
OS30,2005-3-28,28.75,18.89
OS30,2005-4-12,29.96,15.90
DH,2005-4-23,31.83,16.23
OS30,2005-8-8,32.93,16.12
DH,2005-6-22,28.46,18.16
DO,2005-8-13,30.29,17.10
DH,2005-11-27,28.18,18.37
OS30,2005-1-18,30.74,17.23
OS30,2005-9-17,28.37,19.38
DO,2005-2-6,33.49,19.18
DO,2005-10-19,33.95,17.24
NW2,2005-3-5,32.20,15.19
OS30,2005-2-2,32.97,16.24
NW2,2005-12-28,31.78,19.49
NW2,2005-5-11,33.27,15.31
NW1,2005-6-24,28.01,15.62
DO,2005-9-6,33.77,15.57
OS30,2005-8-16,30.21,17.45
NW2,2005-8-17,32.89,16.56
NW2,2005-10-14,31.05,17.48
NW2,2005-11-28,28.60,15.17
DH,2005-5-11,32.51,18.13
OS30,2005-9-22,31.17,15.49
NW1,2005-3-4,30.52,15.41
NW1,2005-3-24,32.81,17.27
DO,2005-11-11,30.97,16.10
OS30,2005-12-12,32.12,16.68
DO,2005-1-16,33.47,15.87
DH,2005-6-13,32.57,17.74
NW1,2005-9-25,32.26,19.84
DO,2005-1-21,32.44,17.65
DH,2005-3-11,29.34,19.94
OS30,2005-10-15,33.57,19.36
NW2,2005-9-10,33.80,18.00
DO,2005-4-3,29.09,19.88
NW1,2005-3-17,33.66,17.47
NW1,2005-2-23,32.05,19.20
NW1,2005-9-22,33.61,19.63
NW2,2005-9-26,29.10,17.56
NW1,2005-3-1,29.83,16.56
DO,2005-1-3,28.17,15.31
DO,2005-12-10,32.36,19.94
DO,2005-6-16,33.52,15.09
NW2,2005-10-12,33.72,15.60
NW2,2005-11-7,33.47,17.36
NW1,2005-10-6,30.30,15.10
DO,2005-11-15,28.99,17.20
DO,2005-12-24,28.06,18.32
DO,2005-6-25,33.06,19.39
NW2,2005-6-24,32.17,16.93
NW2,2005-11-22,31.99,16.08
NW2,2005-7-18,28.65,15.49
NW2,2005-6-24,31.43,19.74
DO,2005-10-6,30.85,18.61
OS30,2005-1-17,28.26,16.66
DH,2005-2-24,30.93,15.80
NW2,2005-2-22,29.91,16.86
DH,2005-10-11,30.19,19.89
DH,2005-2-3,31.05,19.10
NW2,2005-4-10,31.60,17.97
OS30,2005-9-3,30.48,19.82
DO,2005-8-26,31.34,15.18
OS30,2005-6-5,33.16,16.93
NW1,2005-1-22,31.21,17.43
OS30,2005-1-21,29.13,16.91
NW1,2005-1-6,31.96,17.79
DO,2005-6-8,32.36,16.67
OS30,2005-12-22,32.53,15.37
DH,2005-4-23,32.93,16.43
NW2,2005-11-20,29.65,17.85
NW1,2005-3-5,29.29,16.70
DH,2005-4-22,31.22,15.75
OS30,2005-7-2,30.49,19.32
DO,2005-2-3,31.77,15.09
NW1,2005-6-24,33.48,18.98
DH,2005-8-13,30.91,19.29
NW1,2005-6-9,31.76,19.67
DH,2005-7-11,28.65,18.88
OS30,2005-4-28,32.44,16.04
NW1,2005-3-1,29.42,17.52
DH,2005-2-19,32.50,19.40
DH,2005-11-8,28.35,19.35
OS30,2005-2-9,29.35,19.45
DH,2005-8-28,29.96,17.84
OS30,2005-6-22,29.23,19.09
OS30,2005-5-9,29.75,15.63
DH,2005-3-3,33.29,15.59
NW1,2005-10-17,30.12,19.51
NW2,2005-8-5,32.15,16.09
DH,2005-9-28,33.53,16.51
OS30,2005-11-3,32.32,19.51
DO,2005-10-13,30.01,15.39
OS30,2005-12-2,28.45,15.27
OS30,2005-4-16,33.60,15.78
NW1,2005-3-12,32.16,17.95
OS30,2005-4-28,32.02,18.23
DH,2005-4-13,33.69,16.03
OS30,2005-6-18,28.78,18.12
NW2,2005-1-5,30.34,17.95
DO,2005-9-22,32.22,15.15
DO,2005-11-9,29.05,18.30
DO,2005-7-15,29.41,19.08
NW2,2005-2-12,33.65,17.87
NW1,2005-2-8,33.12,19.32
NW2,2005-10-7,30.33,16.93
OS30,2005-8-18,31.08,19.02
OS30,2005-3-20,32.01,15.36
NW2,2005-1-27,30.91,16.58
DH,2005-6-12,28.70,19.64
NW1,2005-4-24,29.93,18.07
DO,2005-4-4,30.35,17.72
NW2,2005-8-22,33.08,19.79
OS30,2005-7-27,28.64,18.98
DH,2005-3-23,30.62,19.56
NW1,2005-9-4,28.50,18.46
NW1,2005-9-17,31.95,18.26
NW1,2005-6-11,33.08,17.29
OS30,2005-5-15,31.47,17.99
DH,2005-2-15,29.62,15.93
NW2,2005-9-19,32.55,17.73
NW1,2005-3-6,28.95,15.35
DH,2005-10-24,29.51,18.01
DO,2005-12-4,33.98,16.25
DH,2005-7-8,29.20,17.26
DO,2005-8-28,28.01,16.45
NW1,2005-3-28,33.93,17.11
NW1,2005-6-21,31.14,18.47
NW2,2005-11-18,28.76,18.43
NW2,2005-3-23,30.00,18.34
NW2,2005-8-27,32.73,16.98
DO,2005-4-9,32.18,15.17
DO,2005-12-19,33.37,19.15
NW2,2005-8-1,31.08,18.92
NW1,2005-1-25,32.96,15.46
DO,2005-2-25,32.95,18.79
DH,2005-12-6,30.95,18.86
NW2,2005-9-10,31.33,18.27
NW1,2005-10-4,31.91,17.66
DO,2005-7-24,31.47,18.69
NW2,2005-4-3,29.73,15.32
DO,2005-12-4,28.55,16.02
OS30,2005-7-1,31.91,15.27
NW1,2005-4-11,33.91,15.65
OS30,2005-4-9,33.82,16.27
OS30,2005-7-25,30.92,16.28
NW1,2005-7-1,32.45,18.13
NW1,2005-9-13,28.37,19.60
NW1,2005-12-28,31.50,18.94
DH,2005-3-6,28.97,19.04
NW2,2005-11-10,33.21,16.36
OS30,2005-10-14,32.98,16.35
NW1,2005-7-4,28.28,17.26
NW1,2005-5-14,33.35,19.02
NW1,2005-8-26,31.94,16.48
DO,2005-11-27,29.26,17.07
DO,2005-5-3,31.42,19.50
DO,2005-2-5,29.23,19.09
OS30,2005-6-1,28.65,18.74
DH,2005-11-27,30.77,19.26
NW2,2005-10-22,31.72,15.01
OS30,2005-8-7,28.44,15.12
OS30,2005-4-26,33.64,19.83
NW1,2005-3-5,32.24,18.60
DH,2005-3-17,29.75,19.72
DH,2005-3-5,31.75,19.24
DH,2005-3-6,32.85,19.99
NW2,2005-11-24,33.97,18.02
DH,2005-11-16,29.22,18.85
NW2,2005-9-6,30.27,19.80
NW1,2005-9-16,29.64,18.95
NW1,2005-4-7,28.68,16.69
NW2,2005-1-14,32.81,17.69
DH,2005-1-17,30.93,15.51
DO,2005-10-19,32.67,16.59
NW1,2005-2-27,33.03,19.08
DO,2005-9-18,33.14,17.00
NW2,2005-10-16,32.00,15.33
NW1,2005-2-17,32.88,15.08
DO,2005-12-13,30.98,18.15
DO,2005-4-23,29.70,15.90
OS30,2005-5-26,30.32,18.91
NW2,2005-5-25,29.84,16.18
DH,2005-1-20,31.76,15.15
NW1,2005-3-5,28.07,19.72
OS30,2005-12-13,30.48,19.07
DH,2005-3-7,30.67,17.50
NW2,2005-4-10,31.95,18.33
OS30,2005-3-22,31.92,15.62
DO,2005-1-16,33.30,16.87
NW2,2005-7-27,28.86,18.48
DO,2005-3-10,30.08,17.39
OS30,2005-4-5,30.19,15.14
OS30,2005-9-13,33.30,19.86
DH,2005-5-11,28.41,16.62
DO,2005-11-27,30.27,17.48
NW2,2005-11-12,28.38,19.68
NW1,2005-11-1,30.66,16.49
NW2,2005-3-27,29.80,16.19
DH,2005-9-8,29.12,18.20
DH,2005-8-13,28.27,18.21
NW1,2005-11-21,29.38,17.97
OS30,2005-2-11,33.46,19.30
DH,2005-10-3,31.15,16.61
DH,2005-6-7,30.64,15.26
DO,2005-1-20,31.56,17.13
DO,2005-11-10,30.32,17.55
NW2,2005-3-1,32.93,18.72
DH,2005-4-26,33.11,17.14
NW2,2005-9-21,32.45,18.76
DH,2005-3-3,33.72,18.80
OS30,2005-12-25,29.31,18.41
OS30,2005-5-8,33.45,17.13
NW1,2005-2-2,28.65,17.60
NW1,2005-11-18,28.32,17.02
NW2,2005-7-3,30.55,18.35
NW2,2005-12-8,31.31,18.54
NW2,2005-7-12,30.62,16.68
OS30,2005-12-22,28.03,17.05
DO,2005-8-1,28.00,18.35
OS30,2005-4-12,31.10,15.35
DO,2005-8-24,30.61,19.13
DO,2005-1-19,28.15,19.23
DO,2005-9-3,29.94,16.21
NW2,2005-10-26,33.74,15.31
DH,2005-8-22,28.01,18.68
DO,2005-6-18,32.29,19.07
NW1,2005-9-28,31.00,18.66
NW1,2005-10-22,28.65,17.48
NW1,2005-6-17,31.39,15.53
DO,2005-4-21,29.56,15.39
NW2,2005-1-24,28.12,19.24
OS30,2005-7-27,31.10,17.20
DO,2005-8-22,32.96,15.89
NW2,2005-9-3,33.21,15.09
NW2,2005-7-15,30.44,19.81
DH,2005-1-14,28.30,18.62
DH,2005-3-22,32.63,19.02
OS30,2005-3-1,30.05,16.56
DO,2005-3-23,30.11,19.06
DO,2005-11-13,31.25,17.82
DH,2005-9-26,32.49,17.94
NW1,2005-1-23,33.51,17.02
OS30,2005-10-22,32.87,19.17
DO,2005-5-14,31.05,18.75
DH,2005-12-15,31.09,17.79
DH,2005-5-27,30.01,16.55
OS30,2005-3-25,32.30,18.88
DO,2005-12-17,32.13,16.49
OS30,2005-7-6,28.38,16.15
DH,2005-10-18,29.63,15.55
OS30,2005-8-16,29.38,18.45
NW1,2005-11-1,32.47,19.42
NW2,2005-2-23,31.43,17.54
OS30,2005-3-9,29.03,15.32
DH,2005-12-14,28.42,15.36
OS30,2005-10-21,29.19,19.33
NW1,2005-4-8,30.62,15.81
NW2,2005-5-1,30.20,18.24
NW2,2005-6-15,29.08,16.94
OS30,2005-4-17,31.00,18.26
DO,2005-6-24,33.31,18.36
NW2,2005-2-5,30.06,15.97
OS30,2005-7-19,32.01,18.92
DO,2005-3-17,28.91,18.09
DO,2005-11-26,29.71,18.82
NW2,2005-1-12,32.82,17.11
DO,2005-10-12,33.86,15.14
NW1,2005-6-9,32.93,19.74
NW2,2005-3-15,33.16,16.81
NW1,2005-8-12,32.10,18.85
NW1,2005-8-13,28.74,15.28
DO,2005-8-22,29.98,17.84
DH,2005-12-26,33.74,19.85
OS30,2005-9-1,31.67,17.08
OS30,2005-10-27,29.28,15.95
DO,2005-5-21,29.06,15.47
DO,2005-4-6,33.45,15.54
OS30,2005-9-23,32.18,15.25
DH,2005-12-21,28.32,18.91
DO,2005-1-18,30.28,19.93
DH,2005-2-3,28.74,18.93
OS30,2005-3-23,28.34,17.56
OS30,2005-12-20,28.51,15.60
DO,2005-12-14,29.33,16.11
NW1,2005-9-28,30.44,15.14
NW1,2005-4-15,30.25,18.59
NW1,2005-5-12,29.98,15.99
OS30,2005-8-14,28.43,15.82
DO,2005-8-17,29.94,18.35
NW1,2005-5-22,32.18,15.49
OS30,2005-7-5,29.74,17.85
OS30,2005-9-28,33.48,15.71
DO,2005-5-5,29.52,19.51
DH,2005-6-20,32.76,15.34
DO,2005-1-8,30.98,15.25
DO,2005-3-6,33.22,16.11
NW1,2005-2-23,30.06,19.58
DO,2005-2-20,30.31,16.00
NW2,2005-3-15,31.42,17.00
NW2,2005-6-17,31.95,16.06
OS30,2005-5-13,32.89,19.63
DO,2005-7-23,28.13,17.26
OS30,2005-12-2,30.70,15.23
NW1,2005-2-17,32.78,17.50
DO,2005-2-16,30.05,16.56
NW1,2005-7-3,29.74,16.74
OS30,2005-8-8,30.69,19.78
NW2,2005-2-8,31.20,17.59
DH,2005-5-9,28.42,18.03
DO,2005-9-22,31.92,19.39
NW2,2005-9-1,32.43,15.75
DO,2005-3-18,28.80,17.20
DO,2005-10-15,33.27,16.00
DH,2005-9-25,31.46,16.13
NW2,2005-11-22,32.76,19.30
OS30,2005-4-20,31.70,16.97
NW2,2005-6-9,29.90,16.38
DO,2005-9-19,29.01,15.19
DH,2005-7-4,30.74,18.75
NW2,2005-12-14,33.67,15.35
DH,2005-3-13,31.96,18.66
DO,2005-4-5,29.41,19.37
NW2,2005-1-14,29.23,16.85
NW2,2005-2-5,30.70,19.00
DO,2005-11-28,32.40,19.78
NW1,2005-9-8,32.60,17.28
NW2,2005-1-15,33.22,18.07
DH,2005-11-11,32.24,18.00
OS30,2005-11-15,30.50,19.36
NW2,2005-4-24,30.99,16.86
NW1,2005-11-18,30.28,18.82
DO,2005-7-4,29.31,16.41
NW2,2005-5-12,31.08,15.65
DH,2005-10-17,30.52,18.78
NW1,2005-7-13,33.57,19.49
NW2,2005-10-20,29.84,16.60
DO,2005-12-14,28.35,19.46
NW2,2005-9-18,31.45,16.60
NW2,2005-7-28,30.25,15.12
OS30,2005-11-25,29.81,17.49
OS30,2005-10-6,33.92,15.63
NW1,2005-2-12,31.41,15.63
OS30,2005-2-27,30.82,15.05
DO,2005-8-16,29.58,15.99
DO,2005-10-21,30.26,18.08
OS30,2005-11-8,31.08,17.87
DO,2005-11-4,28.89,15.65
NW1,2005-2-27,33.46,19.30
OS30,2005-9-11,32.78,15.69
NW1,2005-4-7,32.17,16.32
NW1,2005-6-11,32.74,16.13
NW1,2005-4-26,31.00,17.97
DO,2005-5-26,32.72,19.18
OS30,2005-9-3,29.22,16.09
NW2,2005-11-6,30.88,15.58
DO,2005-6-2,33.37,15.20
DH,2005-4-19,31.43,15.70
DO,2005-7-1,30.85,16.63
NW2,2005-8-25,33.83,16.97
NW2,2005-9-15,29.83,15.20
DO,2005-11-11,33.13,15.25
NW2,2005-3-21,31.13,19.65
NW2,2005-7-27,29.36,17.30
OS30,2005-8-22,28.44,19.24
OS30,2005-8-2,29.48,17.86
DO,2005-8-9,32.88,17.64
NW1,2005-1-24,30.52,16.43
NW2,2005-11-8,28.46,16.61
OS30,2005-6-6,31.97,18.04
NW2,2005-12-10,32.25,17.24
DH,2005-4-16,31.62,18.49
DH,2005-8-2,28.43,19.39
OS30,2005-3-10,28.39,16.08
NW1,2005-8-2,30.07,18.92
DH,2005-5-24,33.68,19.15
DO,2005-3-8,28.93,15.83
DO,2005-6-13,32.87,16.06
NW2,2005-3-6,29.00,15.23
NW1,2005-1-1,30.40,16.63
NW2,2005-3-27,33.09,18.83
NW1,2005-6-5,28.48,19.83
NW2,2005-6-11,28.86,19.99
DH,2005-10-20,30.23,19.63
OS30,2005-7-25,32.87,15.49
DH,2005-7-6,29.78,17.31
DH,2005-7-26,28.66,15.85
NW1,2005-6-14,32.14,15.18
DO,2005-7-4,29.40,16.14
NW2,2005-1-27,32.66,15.73
NW2,2005-3-3,29.47,18.17
NW1,2005-3-3,32.87,18.87
NW2,2005-6-10,33.04,18.56
NW1,2005-8-21,28.23,19.07
NW2,2005-3-23,29.64,19.47
NW1,2005-1-4,32.43,16.24
DO,2005-9-6,30.08,19.94
NW1,2005-7-16,31.53,19.02
NW2,2005-6-20,31.64,19.64
NW1,2005-9-19,30.01,15.69
NW2,2005-9-20,33.26,18.39
DO,2005-6-28,29.86,16.79
OS30,2005-5-1,33.96,15.12
DO,2005-7-12,31.99,18.55
DH,2005-3-11,28.85,18.46
NW1,2005-7-27,31.28,18.54
NW1,2005-8-24,28.53,15.52
DH,2005-4-18,29.85,17.35
DO,2005-1-21,33.32,17.06
OS30,2005-9-24,30.94,16.31
OS30,2005-10-17,32.81,19.50
DO,2005-4-14,32.83,18.17
DH,2005-9-26,31.10,17.30
NW2,2005-12-13,29.99,15.20
NW1,2005-11-9,31.71,17.59
DO,2005-6-1,29.90,17.21
NW2,2005-12-7,29.66,19.49
DH,2005-12-8,28.82,15.97
NW2,2005-7-3,31.79,16.10
DH,2005-12-13,31.52,17.33
DO,2005-11-3,31.48,18.65
NW1,2005-1-12,28.56,19.09
DH,2005-4-1,28.29,16.24
NW2,2005-9-25,33.41,16.76
DO,2005-6-26,33.70,18.73
DO,2005-4-16,29.31,18.75
DO,2005-7-23,33.71,18.19
DO,2005-11-18,30.49,17.74
DO,2005-8-16,32.18,15.56
NW1,2005-5-15,29.36,19.58
DO,2005-1-11,28.66,17.70
NW2,2005-7-6,32.43,15.40
NW1,2005-9-7,28.70,17.92
NW2,2005-8-6,28.80,19.76
OS30,2005-2-17,32.19,15.68
NW1,2005-3-20,30.25,16.77
NW2,2005-10-1,33.80,17.78
OS30,2005-9-13,28.59,15.79
NW1,2005-11-18,29.86,19.28
OS30,2005-3-26,28.62,19.39
OS30,2005-10-10,33.10,16.68
OS30,2005-12-13,32.40,19.81
DO,2005-10-27,33.82,19.39
DO,2005-9-12,32.58,16.08
DO,2005-1-28,32.28,18.36
OS30,2005-12-24,31.12,18.12
OS30,2005-11-23,29.23,15.19
NW2,2005-1-18,29.35,15.04
NW1,2005-9-6,29.24,19.24
OS30,2005-5-20,28.41,18.30
DH,2005-5-1,28.87,16.46
DO,2005-6-1,33.36,17.40
NW1,2005-4-15,29.61,15.97
NW2,2005-12-8,32.08,15.98
NW2,2005-3-6,28.61,16.02
NW2,2005-9-11,30.22,18.66
OS30,2005-11-17,29.79,19.95
NW2,2005-2-28,31.11,16.00
NW2,2005-4-7,29.31,17.84
DH,2005-1-22,28.67,15.82
DO,2005-1-28,29.21,15.66
OS30,2005-3-9,30.97,16.82
DH,2005-10-28,31.12,15.65
DO,2005-12-27,31.22,15.55
NW1,2005-1-13,32.52,17.03
OS30,2005-6-6,31.23,16.93
NW1,2005-7-1,30.92,16.74
OS30,2005-9-2,31.40,19.07
NW2,2005-2-16,28.07,19.98
DO,2005-6-18,31.51,15.05
NW2,2005-10-6,29.61,15.27
DO,2005-8-15,30.15,18.12
DO,2005-8-12,33.00,16.21
OS30,2005-8-22,31.95,17.20
DH,2005-9-20,29.77,19.87
NW1,2005-4-18,33.58,16.91
DO,2005-7-5,31.43,15.75
DH,2005-1-27,29.62,19.22
DO,2005-12-3,31.55,17.39
DO,2005-5-3,28.93,18.18
OS30,2005-7-21,28.95,17.92
DH,2005-5-19,28.81,18.42
NW2,2005-10-15,30.97,18.85
OS30,2005-6-28,28.02,17.49
DH,2005-1-20,30.14,15.82
DH,2005-9-28,29.13,18.48
NW2,2005-7-13,31.93,18.35
NW2,2005-1-2,32.23,16.77
DH,2005-2-23,30.65,16.70
DH,2005-11-2,33.67,18.91
OS30,2005-7-9,33.69,19.19
NW1,2005-11-26,28.68,18.22
OS30,2005-3-20,33.85,18.48
OS30,2005-1-5,31.05,19.98
OS30,2005-11-9,30.37,19.50
DH,2005-6-26,31.74,18.00
OS30,2005-3-13,31.80,18.75
NW1,2005-3-27,30.88,15.27
OS30,2005-2-15,33.84,19.76
NW1,2005-9-4,28.96,16.96
DH,2005-6-6,30.06,16.61
NW2,2005-6-19,30.56,19.27
NW1,2005-6-22,28.67,19.81
NW2,2005-11-15,31.28,15.79
DH,2005-2-21,28.21,19.18
NW1,2005-1-27,30.86,18.09
NW2,2005-12-8,29.86,15.69
DH,2005-2-28,30.79,19.39
DO,2005-12-3,30.85,19.04
NW2,2005-8-10,30.68,15.45
DH,2005-9-4,31.47,15.33
NW1,2005-8-27,31.26,15.83
OS30,2005-5-7,28.77,17.49
DO,2005-6-24,33.11,18.06
OS30,2005-7-25,30.71,17.71
NW1,2005-9-13,33.16,18.81
NW2,2005-3-12,30.14,17.92
NW1,2005-11-28,33.53,17.36
OS30,2005-5-3,31.91,19.52
OS30,2005-2-10,33.28,16.61
DH,2005-9-12,32.32,16.54
DH,2005-3-28,28.62,17.03
NW2,2005-2-11,29.48,18.71
NW2,2005-6-4,33.85,15.84
DO,2005-9-23,29.06,15.68
NW1,2005-2-4,29.68,17.53
NW2,2005-11-10,32.25,18.17
NW2,2005-1-8,30.66,17.21
OS30,2005-3-9,31.51,17.91
DH,2005-9-17,30.81,19.66
OS30,2005-4-25,31.12,16.07
DO,2005-10-9,32.26,17.66
OS30,2005-5-1,30.43,15.66
DO,2005-4-13,32.40,19.95
OS30,2005-6-9,31.03,16.41
NW1,2005-1-21,33.15,16.45
OS30,2005-2-19,28.85,18.61
NW2,2005-2-3,31.85,15.09
DH,2005-6-8,32.04,18.83
